File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpTrace.java,77,20,14,1,10,0,47,291,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpUriRequest.java,86,9,8,0,10,0,67,356,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\package-info.java,32,1,1,0,2,0,29,174,29,174
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\RequestBuilder.java,525,350,255,79,79,0,96,349,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\params\AllClientPNames.java,65,14,9,0,5,0,46,268,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\params\ClientPNames.java,134,15,13,0,15,0,104,557,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\params\HttpClientParamConfig.java,105,64,32,7,10,0,31,185,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\params\package-info.java,33,1,1,0,2,0,30,174,30,174
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\HttpClientContext.java,248,118,88,19,45,0,85,441,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\package-info.java,32,1,1,0,2,0,29,175,29,175
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\RequestAcceptEncoding.java,91,41,29,4,11,0,39,213,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\RequestAddCookies.java,209,140,108,21,22,0,47,292,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\RequestAuthCache.java,145,92,67,11,20,0,33,206,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\RequestClientConnControl.java,95,47,35,6,14,0,34,208,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\RequestDefaultHeaders.java,92,44,30,4,13,0,35,189,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\RequestExpectContinue.java,86,40,29,5,9,0,37,216,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\ResponseContentEncoding.java,138,71,51,5,13,0,54,264,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\protocol\ResponseProcessCookies.java,161,108,81,12,15,0,38,224,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils\CloneUtils.java,84,40,30,6,7,1,37,205,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils\DateUtils.java,241,95,70,12,28,0,118,670,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils\HttpClientUtils.java,150,45,31,5,9,0,96,392,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils\package-info.java,32,1,1,0,2,0,29,173,29,173
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils\URIBuilder.java,515,313,245,65,46,0,156,732,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils\URIUtils.java,442,261,185,66,16,3,165,924,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\utils\URLEncodedUtils.java,698,368,275,71,41,7,289,1644,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\ClientConnectionManager.java,118,13,11,0,12,0,93,577,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\conn\ClientConnectionRequest.java,75,8,5,0,7,0,60,341,26,167
