Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\test\java\org\apache,5,490,273,224,3,72,2,145,915,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\test\java\org\apache\http,5,490,273,224,3,72,2,145,915,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\test\java\org\apache\http\osgi,5,490,273,224,3,72,2,145,915,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\test\java\org\apache\http\osgi\impl,5,490,273,224,3,72,2,145,915,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win,9,998,527,373,59,124,6,347,2043,241,1543
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src,9,998,527,373,59,124,6,347,2043,241,1543
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\examples,1,71,28,23,1,10,0,33,209,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\examples\org,1,71,28,23,1,10,0,33,209,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\examples\org\apache,1,71,28,23,1,10,0,33,209,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\examples\org\apache\http,1,71,28,23,1,10,0,33,209,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\examples\org\apache\http\examples,1,71,28,23,1,10,0,33,209,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\examples\org\apache\http\examples\client,1,71,28,23,1,10,0,33,209,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\examples\org\apache\http\examples\client\win,1,71,28,23,1,10,0,33,209,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main,7,782,409,284,57,98,5,275,1546,189,1209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java,7,782,409,284,57,98,5,275,1546,189,1209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java\org,7,782,409,284,57,98,5,275,1546,189,1209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java\org\apache,7,782,409,284,57,98,5,275,1546,189,1209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java\org\apache\http,7,782,409,284,57,98,5,275,1546,189,1209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java\org\apache\http\impl,7,782,409,284,57,98,5,275,1546,189,1209
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java\org\apache\http\impl\auth,6,670,354,246,47,85,4,231,1315,163,1042
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java\org\apache\http\impl\auth\win,6,670,354,246,47,85,4,231,1315,163,1042
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\main\java\org\apache\http\impl\client,1,112,55,38,10,13,1,44,231,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test,1,145,90,66,1,16,1,39,288,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test\java,1,145,90,66,1,16,1,39,288,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test\java\org,1,145,90,66,1,16,1,39,288,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test\java\org\apache,1,145,90,66,1,16,1,39,288,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-win\src\test\java\org\apache\http,1,145,90,66,1,16,1,39,288,26,167
