Class Name, Line of Code, Line of Comments, RFC, Cohesion, Coupling, Cyclomatic Complexity, Weighted Methods, Depth of Class, Number of children
AbstractMethodFragment.java, 1205, 92, 193, 1, 17, [getParent->1 #processVariables->23 #addFieldInstruction->2 #addSuperFieldInstruction->2 #addLocalVariableDeclaration->2 #addLocalVariableInstruction->2 #addDeclaredLocalVariable->2 #addDefinedLocalVariable->2 #addUsedLocalVariable->2 #processConstructorInvocation->8 #processMethodInvocations->23 #addMethodInvocation->2 #addSuperMethodInvocation->2 #addConstructorInvocation->2 #processClassInstanceCreations->38 #processArrayCreations->2 #addCreation->2 #processLiterals->2 #addLiteral->2 #addAnomymousClassDeclaration->2 #processThrowStatement->2 #addExceptionInThrowStatement->2 #addNonDistinctInvokedMethodThroughField->3 #addNonDistinctInvokedMethodThroughParameter->3 #addNonDistinctInvokedMethodThroughLocalVariable->3 #addNonDistinctInvokedMethodThroughThisReference->2 #addStaticallyInvokedMethod->2 #addParameterPassedAsArgumentInMethodInvocation->3 #addParameterPassedAsArgumentInSuperMethodInvocation->3 #addParameterPassedAsArgumentInConstructorInvocation->3 #addVariableAssignedWithClassInstanceCreation->3 #getMatchingAssignments->3 #getMatchingPostfixAssignments->3 #getMatchingPrefixAssignments->3 #handleDefinedField->6 #handleUsedField->6 #getFieldInstructions->1 #getSuperFieldInstructions->1 #getLocalVariableDeclarations->1 #getLocalVariableInstructions->1 #getMethodInvocations->1 #getSuperMethodInvocations->1 #getConstructorInvocations->1 #getCreations->1 #getClassInstanceCreations->3 #getArrayCreations->3 #getLiterals->1 #getAnonymousClassDeclarations->1 #getExceptionsInThrowStatements->1 #containsMethodInvocation->1 #containsFieldInstruction->1 #containsSuperMethodInvocation->1 #containsLocalVariableDeclaration->1 #getInvokedMethodsThroughFields->2 #getInvokedMethodsThroughParameters->2 #getNonDistinctInvokedMethodsThroughFields->1 #getNonDistinctInvokedMethodsThroughParameters->1 #getInvokedMethodsThroughLocalVariables->2 #getNonDistinctInvokedMethodsThroughLocalVariables->1 #getInvokedMethodsThroughThisReference->1 #getNonDistinctInvokedMethodsThroughThisReference->1 #getInvokedStaticMethods->1 #getNonDistinctInvokedStaticMethods->1 #getDefinedFieldsThroughFields->1 #getUsedFieldsThroughFields->1 #getNonDistinctDefinedFieldsThroughFields->1 #getNonDistinctUsedFieldsThroughFields->1 #getDefinedFieldsThroughParameters->1 #getUsedFieldsThroughParameters->1 #getNonDistinctDefinedFieldsThroughParameters->1 #getNonDistinctUsedFieldsThroughParameters->1 #getDefinedFieldsThroughLocalVariables->1 #getUsedFieldsThroughLocalVariables->1 #getNonDistinctDefinedFieldsThroughLocalVariables->1 #getNonDistinctUsedFieldsThroughLocalVariables->1 #getDefinedFieldsThroughThisReference->1 #getNonDistinctDefinedFieldsThroughThisReference->1 #getUsedFieldsThroughThisReference->1 #getNonDistinctUsedFieldsThroughThisReference->1 #getDeclaredLocalVariables->1 #getDefinedLocalVariables->1 #getUsedLocalVariables->1 #getParametersPassedAsArgumentsInMethodInvocations->1 #getParametersPassedAsArgumentsInSuperMethodInvocations->1 #getParametersPassedAsArgumentsInConstructorInvocations->1 #getVariablesAssignedWithClassInstanceCreations->1 #], 230, 0, 2
AbstractStatement.java, 42, 0, 7, 3, 0, [getStatement->1 #getType->1 #getNestingDepth->3 #stringRepresentation->1 #], 6, 1, 2
CatchClauseObject.java, 92, 0, 24, 2, 0, [setParent->1 #getParent->1 #setBody->1 #getBody->1 #addExpression->1 #getExpressions->1 #getExceptionTypes->1 #addExceptionType->1 #stringRepresentation->1 #getIfStatements->1 #getSwitchStatements->1 #getTryStatements->1 #toString->5 #], 17, 0, 0
AbstractVariable.java, 67, 1, 9, 9, 0, [getVariableBindingKey->1 #getVariableName->1 #getVariableType->1 #isField->1 #isParameter->1 #isStatic->1 #containsPlainVariable->1 #startsWithVariable->1 #getInitialVariable->1 #], 9, 0, 2
BasicBlock.java, 91, 0, 21, 5, 0, [getId->1 #getLeader->1 #getNodes->1 #getAllNodes->1 #getAllNodesIncludingTry->1 #getLastNode->2 #add->1 #addTryNode->1 #getPreviousBasicBlock->1 #setPreviousBasicBlock->1 #getNextBasicBlock->1 #setNextBasicBlock->1 #resetBlockNum->1 #toString->1 #], 15, 0, 0
BasicBlockCFG.java, 85, 1, 10, 2, 1, [getBasicBlocks->1 #forwardReachableBlocks->4 #], 5, 0, 0
CFG.java, 726, 13, 58, 3, 14, [getMethod->1 #getBasicBlockCFG->1 #getBasicBlocks->1 #getDirectlyNestedNodesInBlocks->1 #process->24 #processSynchronizedStatement->1 #processTryStatement->4 #findBlockNodeControlParent->6 #processDoStatement->2 #processLoopStatement->6 #getAction->33 #isBlockWithoutCompositeParent->3 #processNonCompositeStatement->6 #createNonCompositeNode->6 #previousNodesContainBreakOrReturn->3 #directlyNestedNode->6 #directlyNestedNodeInBlock->3 #processSwitchStatement->5 #processIfStatement->14 #handleAction->5 #createTopDownFlow->6 #getNumberOfImmediateBlocks->3 #isLoop->2 #getCommonNextNode->6 #getMostRecentSwitchNode->4 #], 152, 1, 0
CFGBlockNode.java, 21, 0, 2, 1, 0, [getControlParent->1 #setControlParent->1 #], 2, 2, 2
CFGBranchConditionalNode.java, 53, 0, 9, 1, 0, [setJoinNode->1 #getJoinNode->1 #getNestedBasicBlocks->7 #], 9, 3, 2
CFGBranchDoLoopNode.java, 34, 1, 7, 1, 0, [getJoinNode->1 #getNestedBasicBlocks->3 #], 4, 3, 0
